target,8503120,8506302,8506038,8591193,8591127,8502572,8503052
0000065,00d00:47:00,00d01:10:00,00d00:43:00,00d00:17:00,00d00:20:00,00d00:36:00,00d00:36:00
0000066,00d00:47:00,00d01:10:00,00d00:43:00,00d00:17:00,00d00:20:00,00d00:36:00,00d00:36:00
8503000,00d00:34:00,00d01:02:00,00d00:30:00,00d00:14:00,00d00:11:00,00d00:13:00,00d00:14:00
8503006,00d00:39:00,00d01:04:00,00d00:40:00,00d00:10:00,00d00:06:00,00d00:17:00,00d00:18:00
8503016,00d00:52:00,00d00:51:00,00d00:27:00,00d00:15:00,00d00:10:00,00d00:29:00,00d00:24:00
8503088,00d00:41:00,00d01:09:00,00d00:37:00,00d00:17:00,00d00:18:00,00d00:17:00,00d00:07:00
8503110,00d00:03:00,00d00:52:00,00d01:05:00,00d00:53:00,00d00:53:00,00d00:53:00,00d00:51:00
8503112,00d00:14:00,00d01:07:00,00d01:07:00,00d00:55:00,00d00:52:00,00d00:57:00,00d01:01:00
8503121,00d00:04:00,00d01:01:00,00d00:57:00,00d00:45:00,00d00:45:00,00d00:48:00,00d00:43:00
8503122,00d00:07:00,00d01:04:00,00d00:54:00,00d00:42:00,00d00:42:00,00d00:45:00,00d00:40:00
8503123,00d00:12:00,00d01:09:00,00d00:49:00,00d00:37:00,00d00:34:00,00d00:40:00,00d00:35:00
8503129,00d00:34:00,00d01:00:00,00d00:37:00,00d00:14:00,00d00:10:00,00d00:21:00,00d00:23:00
8503139,00d00:11:00,00d01:08:00,00d01:02:00,00d00:50:00,00d00:50:00,00d00:53:00,00d00:53:00
8503147,00d00:38:00,00d01:08:00,00d00:22:00,00d00:20:00,00d00:24:00,00d00:25:00,00d00:25:00
8503301,00d00:24:00,00d01:08:00,00d00:52:00,00d00:44:00,00d00:40:00,00d00:49:00,00d00:46:00
8503302,00d00:28:00,00d01:03:00,00d00:47:00,00d00:39:00,00d00:35:00,00d00:44:00,00d00:48:00
8503303,00d00:31:00,00d00:59:00,00d00:43:00,00d00:35:00,00d00:31:00,00d00:40:00,00d00:44:00
8503304,00d00:46:00,00d00:44:00,00d00:28:00,00d00:29:00,00d00:25:00,00d00:36:00,00d00:38:00
8503305,00d00:37:00,00d00:48:00,00d00:29:00,00d00:22:00,00d00:18:00,00d00:29:00,00d00:31:00
8503306,00d00:41:00,00d00:57:00,00d00:32:00,00d00:17:00,00d00:13:00,00d00:24:00,00d00:26:00
8503307,00d00:46:00,00d00:53:00,00d00:37:00,00d00:21:00,00d00:14:00,00d00:30:00,00d00:30:00
8503308,00d00:52:00,00d00:59:00,00d00:43:00,00d00:19:00,00d00:18:00,00d00:35:00,00d00:35:00
