target,8503120,8506302,8506038,8591193,8591127,8502572,8503052
8588502,00d00:59:00,00d01:01:00,00d00:38:00,00d00:45:00,00d00:38:00,00d00:46:00,00d00:51:00
8588552,00d00:57:00,00d00:41:00,00d00:14:00,00d00:35:00,00d00:31:00,00d00:43:00,00d00:44:00
8588553,00d00:56:00,00d01:03:00,00d00:40:00,00d00:20:00,00d00:17:00,00d00:32:00,00d00:32:00
8588735,00d00:59:00,00d01:06:00,00d00:43:00,00d00:42:00,00d00:38:00,00d00:47:00,00d00:51:00
8590539,00d00:45:00,00d01:01:00,00d00:36:00,00d00:21:00,00d00:17:00,00d00:29:00,00d00:30:00
8590620,00d00:48:00,00d01:06:00,00d00:43:00,00d00:12:00,00d00:10:00,00d00:31:00,00d00:30:00
8590621,00d00:49:00,00d01:09:00,00d00:53:00,00d00:12:00,00d00:04:00,00d00:34:00,00d00:39:00
8590625,00d01:03:00,00d01:10:00,00d00:51:00,00d00:22:00,00d00:15:00,00d00:30:00,00d00:34:00
8590626,00d00:47:00,00d01:08:00,00d00:44:00,00d00:11:00,00d00:16:00,00d00:36:00,00d00:32:00
8590627,00d00:47:00,00d01:08:00,00d00:44:00,00d00:11:00,00d00:16:00,00d00:36:00,00d00:32:00
8590629,00d00:50:00,00d01:07:00,00d00:48:00,00d00:13:00,00d00:05:00,00d00:32:00,00d00:32:00
8590631,00d00:49:00,00d01:07:00,00d00:51:00,00d00:15:00,00d00:07:00,00d00:35:00,00d00:40:00
8590693,00d00:55:00,00d01:02:00,00d00:46:00,00d00:22:00,00d00:21:00,00d00:38:00,00d00:38:00
8590710,00d01:00:00,00d01:07:00,00d00:44:00,00d00:43:00,00d00:39:00,00d00:48:00,00d00:52:00
8590742,00d00:51:00,00d01:07:00,00d00:49:00,00d00:16:00,00d00:11:00,00d00:32:00,00d00:39:00
8590762,00d00:50:00,00d01:05:00,00d00:41:00,00d00:14:00,00d00:13:00,00d00:33:00,00d00:35:00
8590918,00d01:10:00,00d00:51:00,00d00:25:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:56:00
8590919,00d01:03:00,00d00:55:00,00d00:31:00,00d00:50:00,00d00:47:00,00d00:55:00,00d00:49:00
8590922,00d01:07:00,00d00:58:00,00d00:18:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:53:00
8590923,00d01:04:00,00d00:45:00,00d00:19:00,00d00:41:00,00d00:37:00,00d00:49:00,00d00:50:00
8590925,00d01:03:00,00d00:55:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:50:00
8590926,00d01:06:00,00d00:47:00,00d00:09:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8590929,00d01:01:00,00d00:44:00,00d00:19:00,00d00:40:00,00d00:36:00,00d00:47:00,00d00:47:00
8590930,00d01:06:00,00d00:47:00,00d00:21:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8590935,00d01:07:00,00d00:48:00,00d00:17:00,00d00:44:00,00d00:40:00,00d00:51:00,00d00:53:00
8590937,00d01:10:00,00d00:51:00,00d00:25:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:56:00
8590938,00d01:10:00,00d01:00:00,00d00:29:00,00d00:53:00,00d00:49:00,00d00:58:00,00d00:57:00
8590939,00d01:06:00,00d00:47:00,00d00:21:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8590940,00d01:10:00,00d01:01:00,00d00:38:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8590943,00d01:09:00,00d01:00:00,00d00:37:00,00d00:56:00,00d00:53:00,00d01:01:00,00d00:55:00
8590945,00d01:02:00,00d00:46:00,00d00:21:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:48:00
8590946,00d01:08:00,00d00:58:00,00d00:27:00,00d00:51:00,00d00:47:00,00d00:56:00,00d00:55:00
8590948,00d01:08:00,00d00:59:00,00d00:15:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8590949,00d01:06:00,00d00:47:00,00d00:18:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8590952,00d01:07:00,00d00:57:00,00d00:26:00,00d00:50:00,00d00:46:00,00d00:55:00,00d00:54:00
8590953,00d01:05:00,00d00:56:00,00d00:20:00,00d00:49:00,00d00:45:00,00d00:56:00,00d00:51:00
8590954,00d01:10:00,00d01:01:00,00d00:38:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8590955,00d01:09:00,00d01:00:00,00d00:17:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:55:00
8590959,00d01:05:00,00d00:46:00,00d00:20:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:51:00
8590961,00d01:09:00,00d00:50:00,00d00:07:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:55:00
8590963,00d01:10:00,00d01:01:00,00d00:16:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:54:00
8590964,00d01:10:00,00d01:01:00,00d00:13:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8590965,00d01:01:00,00d00:53:00,00d00:22:00,00d00:44:00,00d00:40:00,00d00:51:00,00d00:48:00
8590966,00d01:02:00,00d00:54:00,00d00:23:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:49:00
8590967,00d01:07:00,00d00:58:00,00d00:19:00,00d00:48:00,00d00:44:00,00d00:55:00,00d00:53:00
8590970,00d01:10:00,00d01:00:00,00d00:29:00,00d00:53:00,00d00:49:00,00d00:58:00,00d00:57:00
8590972,00d01:06:00,00d00:57:00,00d00:19:00,00d00:48:00,00d00:44:00,00d00:55:00,00d00:52:00
8590973,00d01:07:00,00d00:57:00,00d00:26:00,00d00:50:00,00d00:46:00,00d00:55:00,00d00:54:00
8590976,00d01:04:00,00d00:56:00,00d00:25:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:51:00
8590977,00d01:09:00,00d01:00:00,00d00:16:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:54:00
8590978,00d01:07:00,00d00:48:00,00d00:22:00,00d00:44:00,00d00:40:00,00d00:51:00,00d00:53:00
8590981,00d01:10:00,00d01:01:00,00d00:13:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8590982,00d01:05:00,00d00:46:00,00d00:11:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:51:00
8590983,00d01:10:00,00d01:01:00,00d00:13:00,00d00:56:00,00d00:48:00,00d01:01:00,00d01:01:00
8590984,00d01:05:00,00d00:46:00,00d00:19:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:51:00
8590985,00d01:07:00,00d00:53:00,00d00:26:00,00d00:48:00,00d00:44:00,00d00:55:00,00d00:56:00
